# timestamp,q0,q1,q2,q3,omega_x,omega_y,omega_z,roll,pitch,yaw
1.764514183998107910e+01,9.504808187484741211e-01,-1.883581466972827911e-02,-1.343244453892111778e-03,-3.102093338966369629e-01,-1.761743431620135759e-03,5.926600850776396294e-05,2.095154770482132581e-04,-3.497992026868822907e-02,-1.763148488543228587e-02,-5.330832647522173451e-01
1.765543150901794434e+01,9.504963159561157227e-01,-1.929573155939579010e-02,-1.205642125569283962e-03,-3.101341128349304199e-01,-1.707344039982610718e-03,-4.173458660696481636e-05,2.539765196870838351e-04,-3.594095932434925728e-02,-1.765530115680236448e-02,-5.330023336791194222e-01
1.766578125953674316e+01,9.505133032798767090e-01,-1.976530998945236206e-02,-1.062610535882413387e-03,-3.100528717041015625e-01,-1.691069468771195161e-03,-7.906117423395298363e-05,2.873684194635077417e-04,-3.692383885021435774e-02,-1.767311884953938830e-02,-5.329146348833793123e-01
1.767602896690368652e+01,9.505648612976074219e-01,-2.065271139144897461e-02,-8.716197335161268711e-04,-3.098371624946594238e-01,-1.566006281988064838e-03,-1.959885642536497935e-04,3.929667002344094289e-04,-3.873304725089782991e-02,-1.788795690947088401e-02,-5.326693875851782334e-01
1.768631815910339355e+01,9.505928158760070801e-01,-2.108194306492805481e-02,-8.328203111886978149e-04,-3.097228705883026123e-01,-1.489237797759934527e-03,-2.899555007941139666e-04,4.151028071657310477e-04,-3.957512980861236512e-02,-1.811669491062880416e-02,-5.325371376125636047e-01
1.769656729698181152e+01,9.506230950355529785e-01,-2.150317840278148651e-02,-8.191871456801891327e-04,-3.096010684967041016e-01,-1.405179651251999918e-03,-3.914716847118556342e-04,4.260843625265892825e-04,-4.038657160850097488e-02,-1.839755164374535026e-02,-5.323946225191145132e-01
1.770680141448974609e+01,9.506590962409973145e-01,-2.189406938850879669e-02,-8.295204606838524342e-04,-3.094627261161804199e-01,-1.311083512252724827e-03,-4.523150399042697844e-04,4.686099102091296239e-04,-4.112577299939894349e-02,-1.870981132415075118e-02,-5.322297770843026354e-01
1.771703457832336426e+01,9.506988525390625000e-01,-2.224621549248695374e-02,-8.485346334055066109e-04,-3.093157112598419189e-01,-1.182650312825555758e-03,-4.599239317555767139e-04,5.147805069109291946e-04,-4.178613216263121766e-02,-1.901172394715416880e-02,-5.320528620506406181e-01
1.772728490829467773e+01,9.507426619529724121e-01,-2.257434651255607605e-02,-9.089305531233549118e-04,-3.091567456722259521e-01,-1.039940278013003726e-03,-5.048710995535541464e-04,5.516408644876135987e-04,-4.237546555800374842e-02,-1.939113458846957599e-02,-5.318588029166132491e-01
1.773760581016540527e+01,9.507876634597778320e-01,-2.286601439118385315e-02,-9.957387810572981834e-04,-3.089969456195831299e-01,-8.994564618457200631e-04,-5.702001549517011917e-04,5.736521265472679064e-04,-4.287922692465646196e-02,-1.980426008923483888e-02,-5.316619102993879187e-01
1.775730919837951660e+01,9.508322477340698242e-01,-2.313679270446300507e-02,-1.085194293409585953e-03,-3.088390827178955078e-01,-7.915866435232558895e-04,-5.738139019699781476e-04,5.715860855427574603e-04,-4.334168470123574146e-02,-2.020741977505229048e-02,-5.314666772258915817e-01
1.776757740974426270e+01,9.509334564208984375e-01,-2.353914082050323486e-02,-1.300113508477807045e-03,-3.084959685802459717e-01,-5.009778859464607227e-04,-5.636622127674128851e-04,6.174411203089002521e-04,-4.398033046167546672e-02,-2.098864727008007899e-02,-5.310362857452443075e-01
1.777784037590026855e+01,9.509858489036560059e-01,-2.370499074459075928e-02,-1.416221959516406059e-03,-3.083212077617645264e-01,-4.114757331934395688e-04,-5.539826318186421737e-04,6.265508741121788216e-04,-4.422733608647459042e-02,-2.137187103537801364e-02,-5.308156060539885868e-01
1.778810310363769531e+01,9.510399699211120605e-01,-2.381140366196632385e-02,-1.561786630190908909e-03,-3.081454038619995117e-01,-2.606472593395766963e-04,-5.490146919690055451e-04,6.318281300225661416e-04,-4.434320923046502355e-02,-2.177862603557641913e-02,-5.305908584739368328e-01
1.779842591285705566e+01,9.510998129844665527e-01,-2.387044951319694519e-02,-1.722829765640199184e-03,-3.079552352428436279e-01,-7.093575851405860820e-05,-5.613517111241403401e-04,6.593121584024556545e-04,-4.435979828668362018e-02,-2.218413661451552193e-02,-5.303459369983191118e-01
1.780867695808410645e+01,9.511631727218627930e-01,-2.388153597712516785e-02,-1.866136677563190460e-03,-3.077576756477355957e-01,8.072906794812682656e-05,-5.099934069277564999e-04,6.998648085056822371e-04,-4.429632397620425488e-02,-2.251072397107705889e-02,-5.300907714543978688e-01
1.781907582283020020e+01,9.512229561805725098e-01,-2.386735379695892334e-02,-2.026792382821440697e-03,-3.075731098651885986e-01,2.004315237921481293e-04,-4.692923083558342531e-04,6.903470392928479559e-04,-4.417394097050401924e-02,-2.285987864911599374e-02,-5.298507754428696259e-01
1.782929110527038574e+01,9.512900710105895996e-01,-2.380969189107418060e-02,-2.181445714086294174e-03,-3.073686957359313965e-01,3.272723337807147983e-04,-4.527985868243165402e-04,7.030975571546943092e-04,-4.397300057558263531e-02,-2.316006200253355532e-02,-5.295844572886527768e-01
1.783956146240234375e+01,9.513613581657409668e-01,-2.371540293097496033e-02,-2.344861859455704689e-03,-3.071540892124176025e-01,4.452373379257809106e-04,-4.175708718974747665e-04,7.585703677586196417e-04,-4.369727304374489835e-02,-2.345206241863560456e-02,-5.293038743993826456e-01
